age,marital,housing,duration,y
43,divorced,yes,141,no
39,single,no,583,yes
54,married,yes,184,no
31,single,yes,50,no
39,divorced,yes,76,no
46,married,yes,111,no
50,married,no,20,no
61,married,yes,151,no
47,married,yes,88,no
31,single,no,171,no
52,married,yes,159,no
32,married,yes,70,no
38,married,no,253,no
39,married,no,206,no
59,divorced,yes,165,no
34,married,yes,162,no
51,married,yes,168,no
45,married,no,272,no
44,divorced,yes,121,no
42,divorced,no,20,no
31,married,no,315,no
44,married,no,203,no
34,married,yes,71,no
50,married,no,146,no
50,single,yes,363,no
44,married,yes,53,no
34,married,yes,147,no
48,married,no,312,yes
32,married,yes,157,no
60,married,yes,18,no
40,married,yes,130,no
36,married,no,87,no
45,married,yes,167,no
36,married,yes,387,no
42,single,yes,513,yes
34,single,yes,667,no
41,married,yes,239,no
38,married,no,18,no
55,married,no,113,no
52,married,no,215,no
36,married,yes,133,no
47,married,no,434,no
30,single,no,262,no
34,single,no,350,no
49,married,no,771,no
36,single,no,136,no
44,married,no,140,no
27,married,no,235,no
75,divorced,yes,83,no
39,married,yes,110,no
29,married,unknown,338,no
56,married,yes,71,no
32,single,yes,212,no
40,married,yes,197,no
43,single,no,51,no
73,married,yes,158,no
33,single,yes,89,no
39,married,yes,531,yes
30,single,yes,343,no
29,single,no,321,no
35,single,no,71,no
36,married,yes,593,yes
47,divorced,no,62,no
34,married,no,224,no
45,married,yes,128,no
41,married,no,139,no
38,single,yes,1476,no
46,married,no,229,no
38,married,yes,273,no
31,married,no,365,no
51,married,yes,92,no
38,married,no,273,no
61,married,no,108,no
53,married,yes,73,no
29,single,no,190,no
52,married,no,239,no
33,single,no,134,no
34,single,yes,174,no
27,single,yes,104,no
66,married,yes,210,no
34,divorced,no,212,no
30,married,no,103,no
45,married,yes,45,no
38,single,no,335,no
32,single,no,74,no
36,married,unknown,174,no
49,married,no,104,no
41,single,yes,66,no
54,married,no,7,no
29,single,yes,128,no
42,single,no,408,no
31,married,yes,213,yes
36,single,yes,124,no
35,single,no,416,no
45,married,yes,211,no
37,single,yes,105,no
34,married,yes,193,no
47,married,no,88,no
37,married,no,228,no
31,married,no,544,no
51,divorced,yes,460,no
38,married,no,610,yes
34,divorced,no,73,no
50,married,no,544,no
54,married,no,856,no
29,single,yes,90,no
36,single,yes,38,no
28,married,no,35,no
45,married,no,97,no
50,unknown,no,398,no
36,single,yes,508,no
50,divorced,no,64,no
42,single,no,122,no
44,married,no,277,no
45,divorced,yes,8,no
29,married,yes,265,no
42,married,yes,196,no
55,married,no,217,no
61,married,yes,386,yes
52,married,yes,74,no
34,married,yes,899,no
39,married,yes,95,no
39,single,no,127,no
41,married,yes,82,no
49,married,no,443,no
44,divorced,no,1091,no
34,single,yes,313,no
39,married,no,208,no
50,divorced,no,39,no
41,married,yes,434,no
30,married,yes,196,no
39,single,no,188,no
39,married,yes,279,no
53,married,no,421,yes
22,single,no,156,no
39,single,no,419,no
32,single,yes,371,no
48,married,yes,796,yes
41,single,yes,266,no
25,married,no,132,no
31,single,unknown,150,no
49,married,no,203,no
39,single,yes,466,no
44,married,no,257,no
32,divorced,yes,351,no
38,married,no,406,no
34,married,yes,138,no
43,married,no,42,no
35,married,no,193,no
31,married,no,627,no
37,married,yes,345,no
39,divorced,yes,79,no
36,single,yes,107,no
48,married,yes,162,no
37,single,no,438,no
30,married,no,108,no
33,married,yes,120,no
39,married,no,410,no
53,married,yes,195,no
29,married,yes,718,yes
30,married,yes,19,no
29,single,no,333,no
72,divorced,no,270,no
40,married,yes,480,no
47,married,no,163,no
24,single,yes,233,no
37,married,yes,21,no
43,married,yes,155,no
42,married,yes,195,no
40,married,yes,144,no
45,single,yes,62,no
42,single,no,42,no
46,married,yes,563,no
27,married,yes,445,yes
33,married,yes,54,no
54,married,yes,58,no
58,married,no,577,no
31,married,no,243,no
34,single,no,264,no
52,married,no,228,no
35,married,yes,419,no
29,single,no,1118,no
31,single,yes,74,no
56,married,yes,14,no
38,married,yes,183,no
47,married,no,93,no
30,single,yes,169,no
34,married,no,83,no
35,married,yes,8,no
39,married,no,367,no
53,married,no,527,no
36,married,no,115,no
56,married,yes,37,no
31,single,yes,270,no
42,married,yes,117,no
58,married,no,607,no
31,single,no,365,no
60,divorced,yes,63,no
36,married,yes,88,no
30,single,yes,13,no
48,married,no,124,no
50,married,yes,485,no
30,married,yes,83,no
26,single,yes,894,yes
35,married,yes,281,no
37,married,no,70,no
31,single,no,906,no
35,married,yes,228,no
34,divorced,unknown,256,no
58,married,yes,110,yes
31,unknown,no,182,no
54,single,yes,333,no
38,married,yes,417,no
33,single,no,503,no
41,married,no,174,no
52,married,no,4199,yes
39,single,yes,58,no
33,married,yes,58,no
25,single,yes,205,no
54,married,yes,196,no
23,single,no,310,yes
35,married,yes,146,no
35,single,no,562,yes
51,married,no,286,no
53,married,yes,99,no
52,married,yes,160,no
42,married,no,120,no
39,married,yes,108,no
37,married,yes,176,no
52,divorced,no,62,no
48,married,no,238,no
46,divorced,yes,78,no
26,single,no,7,no
48,divorced,yes,219,no
39,married,no,85,no
46,married,yes,31,no
36,married,yes,140,no
26,single,no,54,no
70,divorced,yes,161,no
59,married,yes,145,no
51,divorced,no,133,no
37,single,yes,194,no
34,married,yes,140,no
30,married,no,1161,no
57,married,no,97,no
31,married,yes,130,no
26,single,no,294,no
59,married,no,93,no
42,married,no,75,no
34,married,yes,431,no
39,single,no,122,no
47,married,yes,201,no
52,married,no,267,no
36,single,no,150,no
59,divorced,no,139,no
39,married,yes,34,no
42,married,no,902,yes
33,single,no,36,no
36,married,yes,295,no
35,married,yes,50,no
32,single,no,152,no
51,married,yes,85,no
54,married,yes,121,no
59,married,no,1073,yes
31,single,yes,242,no
43,married,yes,325,no
32,single,yes,412,yes
37,married,yes,163,no
32,divorced,yes,633,no
32,single,yes,56,no
47,married,no,83,no
30,married,no,623,yes
32,single,yes,97,no
26,single,yes,59,no
47,married,no,245,no
45,married,yes,106,no
53,married,no,2260,no
27,single,no,700,yes
47,married,yes,580,no
30,single,no,154,no
40,married,yes,96,no
31,single,yes,427,no
40,married,no,66,no
28,single,yes,116,no
25,single,no,244,yes
38,divorced,yes,926,no
47,divorced,no,16,no
59,married,no,332,no
33,married,yes,731,yes
52,married,yes,229,yes
44,married,yes,292,no
49,divorced,yes,206,no
41,divorced,no,253,no
31,married,yes,12,no
39,married,yes,126,no
60,married,yes,363,yes
26,married,no,676,no
36,married,yes,224,no
25,single,no,236,no
29,single,no,53,no
46,married,no,131,no
55,married,no,88,no
27,single,no,331,no
45,single,yes,237,no
59,single,yes,143,no
31,single,no,173,no
30,single,no,145,no
35,single,no,104,no
45,married,no,150,yes
56,married,yes,46,no
39,married,no,557,no
51,married,no,277,no
49,divorced,yes,112,no
35,single,yes,580,no
23,single,no,49,no
37,single,yes,100,no
32,divorced,no,115,no
33,married,yes,75,no
39,married,yes,79,no
31,married,yes,519,yes
32,married,yes,146,no
47,married,no,176,no
55,married,no,173,no
42,divorced,yes,163,no
30,married,no,171,no
48,married,no,171,no
38,single,yes,105,no
33,divorced,yes,210,no
39,married,no,120,no
58,married,unknown,624,yes
33,married,yes,110,no
42,married,yes,193,no
33,married,no,115,no
31,married,no,16,no
56,married,no,41,no
51,married,no,16,no
27,married,yes,141,no
31,married,yes,760,no
30,single,no,13,no
42,single,no,482,no
32,divorced,no,225,no
38,married,yes,21,no
31,married,yes,374,no
29,single,yes,147,no
36,divorced,yes,112,no
40,married,yes,153,no
52,married,no,41,no
51,married,unknown,487,no
35,divorced,yes,212,no
22,single,yes,127,no
40,married,yes,100,no
46,married,yes,75,no
66,married,unknown,216,yes
57,married,yes,305,no
40,single,no,266,no
34,married,no,132,no
24,married,yes,46,no
25,single,yes,163,no
34,married,yes,491,yes
36,married,yes,220,no
32,married,yes,394,yes
45,divorced,yes,705,yes
46,single,no,121,no
37,married,no,106,no
49,married,unknown,375,no
25,single,no,180,no
50,married,no,203,no
35,married,no,56,no
43,married,no,38,no
56,married,no,540,yes
40,married,yes,296,no
57,divorced,no,111,no
38,single,no,296,no
57,married,yes,857,yes
32,single,yes,153,no
49,single,no,97,no
34,single,no,86,no
50,married,no,116,no
54,married,yes,153,no
38,married,no,190,no
33,married,yes,112,no
47,married,yes,136,no
42,married,no,309,no
31,married,yes,257,no
33,married,yes,331,no
47,married,yes,100,no
28,single,no,528,no
46,married,no,107,no
36,married,yes,297,no
33,married,no,58,no
66,married,unknown,881,yes
21,single,unknown,875,yes
32,married,no,142,no
39,single,no,155,no
41,married,no,845,yes
48,single,yes,90,no
31,married,yes,208,no
57,single,yes,265,no
56,married,yes,560,no
37,married,yes,233,no
33,divorced,yes,57,no
48,divorced,no,564,yes
32,divorced,no,765,no
33,married,no,113,no
60,married,yes,108,no
20,single,yes,1503,no
53,married,yes,58,no
44,married,yes,75,no
30,married,no,84,no
35,single,unknown,316,no
43,single,yes,354,no
58,married,yes,77,no
33,single,yes,1422,yes
55,married,no,239,no
34,married,yes,401,no
32,married,no,169,no
77,married,no,144,no
41,single,no,18,no
53,married,yes,771,no
59,divorced,yes,517,no
49,married,no,138,no
31,single,yes,318,no
32,married,yes,359,no
47,married,no,168,no
34,single,yes,111,no
26,married,yes,182,no
45,married,yes,48,no
41,married,yes,54,no
39,married,yes,136,no
29,single,no,206,no
36,married,yes,227,no
52,married,no,40,no
34,divorced,yes,162,no
31,married,yes,97,no
33,married,no,130,yes
41,single,no,68,no
27,single,no,72,no
33,married,no,328,no
59,married,yes,94,no
40,single,yes,99,no
43,married,yes,99,no
38,married,yes,915,no
27,married,yes,240,no
23,single,yes,34,no
31,single,yes,286,no
31,single,unknown,212,yes
56,married,no,634,yes
50,married,no,306,no
32,single,no,147,no
42,married,no,266,no
43,married,no,332,no
40,married,no,374,no
32,married,no,428,no
44,married,yes,43,no
37,married,no,88,no
59,married,no,383,no
26,single,no,177,no
35,married,no,616,no
60,single,yes,211,no
29,married,yes,164,no
44,single,no,363,no
30,single,yes,103,no
32,single,yes,38,no
39,single,unknown,64,no
46,divorced,no,266,no
38,single,no,266,no
41,married,yes,168,no
29,single,no,82,no
28,single,yes,376,no
31,married,yes,774,no
50,divorced,yes,301,yes
19,single,yes,438,yes
38,married,yes,118,no
44,divorced,no,73,no
35,single,yes,289,no
48,married,no,215,no
27,single,no,803,yes
36,married,yes,1178,yes
41,married,yes,514,no
30,married,no,72,no
32,divorced,yes,11,no
51,married,yes,50,no
41,single,no,168,no
17,single,unknown,498,yes
46,married,no,68,no
34,single,no,35,no
43,single,yes,69,no
36,divorced,no,300,no
25,single,yes,239,no
50,unknown,no,166,no
44,divorced,no,21,no
45,married,yes,305,no
56,married,yes,286,no
34,married,no,222,no
29,married,yes,317,yes
33,single,yes,175,no
53,married,yes,354,no
24,single,yes,314,no
34,married,yes,477,no
52,divorced,no,79,no
48,married,yes,89,no
48,married,no,311,no
36,married,no,98,no
25,single,no,800,no
34,unknown,no,139,no
37,married,no,158,no
33,married,no,80,no
36,single,yes,479,no
37,married,no,268,no
38,single,yes,183,no
27,divorced,yes,206,no
31,single,yes,145,no
49,married,yes,155,no
34,single,no,119,no
31,married,no,66,no
29,single,yes,200,yes
42,married,no,50,no
42,divorced,no,93,no
44,married,no,115,no
35,divorced,no,133,no
53,divorced,yes,168,no
35,divorced,no,192,no
33,married,no,87,no
37,married,yes,25,no
48,divorced,no,86,no
58,single,yes,127,no
51,married,yes,431,no
30,single,no,319,no
26,single,yes,77,no
25,single,no,19,no
31,single,no,419,no
63,married,yes,87,no
34,married,no,436,no
51,divorced,yes,870,no
59,married,no,222,no
33,married,yes,310,no
56,single,no,53,no
29,married,no,117,no
38,single,no,13,no
29,single,yes,79,no
31,married,no,551,no
38,married,no,204,no
46,married,yes,143,no
30,single,unknown,148,no
32,single,no,290,no
30,married,yes,544,no
30,married,no,78,no
53,divorced,yes,635,no
27,single,yes,1328,yes
35,single,no,41,no
38,married,no,149,no
35,single,yes,46,no
28,married,no,176,no
57,married,yes,210,no
26,single,yes,70,no
30,single,no,700,yes
34,divorced,yes,139,no
31,married,no,125,no
54,married,yes,113,no
43,married,no,116,no
37,single,no,93,no
29,single,no,347,no
30,married,no,186,no
31,single,no,334,no
50,married,yes,139,no
41,married,yes,262,no
45,married,yes,379,yes
52,married,yes,105,no
47,married,no,517,no
37,married,no,149,no
51,married,unknown,133,no
26,single,no,155,no
28,married,yes,249,no
44,divorced,no,196,no
24,married,yes,93,no
29,married,no,156,no
44,married,yes,188,no
37,married,yes,364,no
30,single,no,66,no
37,married,no,43,no
30,married,yes,105,no
28,single,no,404,no
52,married,yes,288,no
29,married,no,658,yes
34,married,yes,298,no
35,married,yes,244,no
28,married,yes,223,no
37,married,yes,176,no
43,divorced,no,388,no
69,married,yes,840,yes
38,married,unknown,144,no
57,single,yes,507,no
44,married,no,734,no
60,married,no,115,no
49,married,yes,772,no
36,married,yes,310,no
36,married,no,193,no
38,married,yes,143,no
34,married,no,266,no
54,married,no,87,no
29,single,unknown,255,yes
47,married,yes,502,no
30,married,no,186,no
31,single,yes,137,no
32,divorced,no,744,no
25,single,yes,117,yes
32,married,yes,83,no
29,divorced,yes,114,no
34,married,yes,140,no
41,married,no,281,yes
49,married,no,283,no
35,married,yes,228,no
37,single,no,331,no
30,single,yes,72,no
41,single,yes,325,yes
34,married,yes,344,yes
30,single,yes,307,no
37,married,yes,633,yes
33,single,yes,46,no
30,married,no,56,no
53,married,yes,398,yes
24,married,no,122,no
40,single,yes,541,no
49,married,yes,239,no
33,single,no,61,no
26,single,yes,113,no
30,married,no,122,no
40,single,yes,142,no
31,married,no,298,no
37,single,no,61,no
32,single,no,188,no
32,married,yes,1129,yes
54,divorced,no,189,no
35,married,no,63,no
48,single,yes,449,no
50,married,yes,90,no
25,single,no,252,no
47,married,yes,39,no
60,divorced,no,111,no
57,divorced,no,162,no
39,divorced,yes,130,no
32,single,no,188,no
27,single,yes,634,no
26,single,yes,284,yes
29,married,no,376,no
43,married,no,200,no
40,married,no,106,no
46,married,no,91,no
26,single,yes,115,no
30,married,yes,190,no
54,divorced,yes,80,no
43,married,no,173,no
56,married,no,68,no
54,divorced,yes,92,no
31,single,no,99,no
39,married,yes,164,no
58,unknown,no,16,no
41,married,yes,47,no
32,single,yes,85,no
51,married,no,13,no
32,single,yes,45,no
38,married,no,85,no
49,married,no,630,no
43,married,no,1389,no
39,married,yes,183,no
33,divorced,no,34,no
51,married,no,153,no
32,single,no,182,no
39,single,no,81,no
47,married,yes,377,no
29,single,yes,392,no
48,married,yes,69,no
49,married,no,328,no
45,divorced,yes,575,no
33,single,no,130,no
32,married,yes,547,no
42,divorced,no,94,no
51,married,yes,85,no
28,married,yes,733,yes
32,single,yes,333,no
54,married,yes,698,no
25,married,yes,78,no
40,married,yes,30,no
18,single,yes,561,yes
24,single,yes,447,no
30,married,yes,18,no
73,married,yes,334,yes
46,married,yes,502,yes
41,married,yes,220,no
40,married,no,80,no
38,single,no,243,no
39,single,no,94,no
49,married,yes,190,no
32,married,no,68,no
27,single,yes,144,no
36,married,no,287,yes
41,single,yes,9,no
49,married,yes,214,no
37,married,no,192,no
50,married,yes,110,no
40,married,yes,81,no
37,single,yes,348,no
38,married,no,543,no
28,single,no,108,no
32,married,yes,35,no
39,single,yes,1075,no
33,married,no,281,no
55,married,yes,95,no
45,married,unknown,130,no
31,divorced,no,546,no
53,divorced,yes,56,no
28,married,no,142,no
39,single,yes,97,no
31,married,yes,269,no
52,divorced,yes,73,no
35,single,yes,132,no
32,married,yes,105,no
32,single,yes,80,no
48,married,no,346,no
38,single,yes,255,no
66,married,yes,222,no
49,married,yes,92,no
30,married,no,70,no
37,single,yes,108,no
35,divorced,no,487,no
36,married,no,188,no
35,married,yes,85,no
31,married,no,99,no
29,single,no,185,no
49,married,yes,131,no
32,single,no,194,no
37,divorced,yes,176,no
59,married,no,25,no
31,married,no,363,no
36,married,yes,419,no
41,married,yes,228,no
43,married,yes,114,no
31,single,yes,57,no
58,married,yes,165,no
37,single,no,103,no
55,married,yes,687,yes
27,married,no,392,no
42,married,yes,1059,no
42,married,yes,135,no
39,married,yes,492,no
30,married,yes,139,no
37,divorced,yes,63,no
28,single,no,200,no
50,married,no,144,no
53,single,yes,1468,yes
57,married,yes,41,no
52,married,no,393,no
31,single,yes,111,no
44,divorced,no,39,no
26,single,no,127,no
23,married,yes,77,no
27,single,yes,111,no
53,married,no,350,no
31,single,yes,184,no
42,married,no,217,no
44,married,yes,100,no
38,married,yes,54,no
41,divorced,no,141,no
49,married,no,29,no
30,single,no,67,no
41,married,yes,460,no
43,married,no,118,no
39,married,yes,265,yes
37,married,yes,884,no
34,married,yes,113,no
33,married,no,167,no
38,married,yes,82,no
36,married,no,205,no
63,married,yes,492,no
37,single,no,121,no
45,married,no,79,no
24,single,no,299,no
29,single,no,442,no
28,single,yes,326,yes
36,married,no,227,no
27,single,no,48,no
38,married,yes,169,no
31,married,no,203,no
35,married,yes,180,no
44,married,yes,236,no
46,divorced,no,199,no
57,married,yes,224,no
42,married,no,194,no
46,married,yes,1135,no
37,married,yes,196,no
37,married,yes,195,yes
46,married,no,92,no
36,married,yes,297,no
24,single,no,292,no
57,married,no,698,no
30,married,yes,41,no
31,married,yes,314,no
39,married,no,224,no
35,married,no,124,no
45,married,no,152,no
45,divorced,yes,121,no
41,single,no,593,no
35,married,no,290,no
35,single,yes,58,no
36,single,no,480,yes
34,married,no,381,no
42,married,no,113,no
29,single,no,71,no
62,married,yes,113,no
35,married,no,288,no
35,married,no,813,yes
48,single,yes,14,no
46,married,no,122,no
45,married,yes,454,no
29,married,yes,75,no
31,single,yes,182,no
58,married,yes,7,no
47,divorced,no,37,no
47,single,yes,202,no
29,married,yes,128,no
44,married,no,288,no
37,single,no,298,no
50,married,no,119,no
32,divorced,unknown,136,no
55,divorced,yes,404,no
36,married,yes,166,no
51,married,yes,165,no
29,married,no,89,no
41,divorced,yes,249,no
35,married,yes,298,no
40,married,yes,183,no
36,married,no,271,no
45,married,no,174,no
39,married,yes,213,no
57,single,no,78,no
44,married,yes,221,no
42,divorced,yes,455,no
37,single,yes,179,no
52,married,no,393,no
48,single,yes,333,no
57,married,no,182,no
35,married,no,220,no
36,divorced,no,119,no
30,married,yes,98,no
36,divorced,no,709,yes
30,single,yes,91,no
28,single,yes,76,no
45,married,no,126,no
38,single,no,181,no
30,married,yes,482,no
41,married,no,424,no
22,married,yes,143,no
33,married,no,155,no
27,single,yes,386,no
42,married,unknown,122,no
54,single,no,253,no
47,single,yes,345,no
53,married,yes,9,no
24,single,no,757,yes
42,married,no,292,no
58,married,yes,96,no
30,divorced,yes,115,no
39,married,yes,286,no
38,married,yes,362,no
31,married,yes,193,no
42,married,no,391,no
40,single,yes,356,yes
49,married,yes,42,no
59,married,yes,108,no
48,married,yes,812,no
57,married,no,1205,yes
30,single,no,275,yes
60,married,yes,176,no
34,married,no,144,no
39,single,yes,226,no
35,married,no,100,no
35,married,yes,12,no
47,married,yes,150,no
51,married,yes,549,no
24,single,yes,109,no
49,divorced,yes,173,no
36,married,yes,25,no
37,single,no,83,no
52,single,unknown,138,no
38,divorced,yes,469,no
24,single,no,537,yes
43,married,no,319,no
42,married,yes,106,no
33,single,yes,566,no
48,married,yes,74,no
60,married,yes,503,yes
52,married,no,211,yes
33,married,yes,68,no
35,married,yes,235,no
31,married,no,62,no
30,married,no,140,no
35,single,yes,176,no
29,single,yes,257,no
54,divorced,no,157,no
32,married,yes,78,no
40,married,no,22,no
32,divorced,no,559,no
42,single,no,131,no
60,married,unknown,81,no
32,single,no,264,no
35,married,yes,110,no
30,married,yes,126,no
52,married,yes,78,no
64,married,yes,159,no
51,married,no,486,yes
39,married,no,459,yes
49,married,no,276,no
30,single,no,58,no
41,married,no,67,no
24,single,unknown,86,no
34,single,no,543,no
47,single,no,167,no
53,divorced,yes,112,no
41,single,unknown,772,no
55,married,yes,153,no
32,single,yes,210,no
27,single,yes,520,no
58,divorced,yes,341,no
29,married,no,134,no
30,married,yes,362,no
53,married,yes,446,no
52,married,yes,106,no
45,married,no,191,no
37,married,yes,244,no
23,married,no,94,no
31,single,no,370,no
53,married,yes,300,no
48,married,yes,12,no
29,single,yes,41,no
28,married,no,109,no
57,married,yes,134,no
28,single,no,155,no
40,married,yes,112,no
34,divorced,yes,465,no
31,married,yes,234,no
42,divorced,yes,144,no
55,single,no,542,yes
41,divorced,yes,115,no
34,married,yes,340,no
33,single,yes,70,no
37,married,no,226,no
33,divorced,no,18,no
35,married,yes,160,no
24,single,yes,127,yes
40,married,yes,155,no
28,married,yes,376,no
36,divorced,no,190,yes
32,married,yes,258,no
39,married,no,199,no
44,married,no,9,no
36,single,yes,508,no
28,single,no,863,yes
45,married,no,281,no
50,divorced,no,291,no
31,divorced,yes,320,no
28,married,no,590,yes
31,married,no,514,no
40,married,no,314,no
39,married,yes,423,yes
32,single,no,409,no
46,divorced,no,499,no
31,single,yes,325,no
24,single,yes,169,no
64,married,yes,427,no
33,single,yes,208,no
51,married,no,116,no
42,married,yes,215,no
37,single,no,209,yes
29,married,yes,182,no
55,married,yes,368,no
40,married,yes,146,no
41,married,yes,802,no
47,married,no,41,no
27,single,no,148,no
43,married,no,366,no
55,married,yes,60,no
28,single,no,133,no
45,married,no,45,no
50,married,no,289,no
35,married,yes,126,no
31,married,yes,196,no
50,married,yes,63,no
40,single,no,139,no
32,single,no,120,no
37,married,yes,22,no
43,married,yes,129,no
26,single,no,358,yes
27,single,yes,177,yes
30,married,no,146,no
44,single,yes,18,no
25,married,yes,153,no
24,single,no,197,no
51,married,no,22,no
37,single,yes,773,no
47,divorced,yes,142,no
46,married,no,225,no
32,married,yes,118,no
28,married,no,396,yes
31,married,no,680,yes
52,married,no,249,no
47,married,unknown,153,no
58,divorced,yes,688,no
37,married,yes,214,no
34,married,yes,415,no
41,divorced,yes,122,no
47,married,yes,141,no
31,married,yes,214,no
36,married,yes,246,no
41,married,no,340,no
44,married,no,368,no
32,married,no,1090,no
57,married,no,93,no
37,single,no,89,no
51,married,no,78,no
46,married,no,103,no
77,married,yes,372,yes
49,married,yes,404,no
36,married,no,85,no
42,married,yes,299,no
30,married,no,147,no
37,married,yes,279,no
42,married,yes,290,no
38,single,yes,195,no
30,single,no,100,no
44,single,no,18,no
49,married,no,141,no
32,married,yes,181,no
53,married,yes,247,no
57,married,yes,438,no
42,divorced,yes,124,no
76,married,no,122,no
38,single,yes,188,no
25,single,yes,142,no
58,divorced,no,231,no
36,divorced,no,208,no
24,married,yes,921,no
35,married,yes,12,no
36,married,yes,132,no
39,married,no,62,no
42,divorced,no,181,no
42,divorced,yes,189,no
34,married,no,323,no
36,single,no,172,no
56,married,yes,119,no
35,single,no,59,no
34,married,no,6,no
26,married,no,510,no
34,married,no,388,no
46,single,yes,193,no
24,single,no,51,no
36,married,no,97,no
30,single,no,204,no
50,married,yes,135,no
46,married,no,231,yes
33,single,no,182,no
33,married,yes,111,no
40,married,no,486,no
48,married,yes,168,no
49,divorced,no,381,no
47,single,yes,87,no
47,married,no,42,no
31,single,yes,348,no
37,divorced,no,80,no
30,married,no,173,no
32,single,no,361,no
33,married,no,321,no
31,single,yes,91,no
52,single,no,212,no
26,married,yes,183,no
55,divorced,no,104,no
34,single,no,155,no
52,divorced,no,200,no
43,divorced,unknown,182,no
29,divorced,yes,321,no
48,married,yes,122,no
30,unknown,no,131,no
53,married,no,45,no
41,married,yes,63,no
48,married,no,287,no
36,single,yes,569,no
59,married,no,767,yes
49,married,yes,645,no
33,single,yes,560,yes
44,single,yes,347,no
40,single,no,32,no
33,single,yes,113,no
28,single,yes,111,no
57,divorced,no,46,no
52,married,yes,177,no
40,married,no,202,no
21,single,yes,173,no
53,married,no,373,no
23,single,yes,122,yes
40,married,yes,366,no
25,single,no,123,no
35,married,no,630,no
41,divorced,unknown,73,no
48,divorced,yes,191,no
60,married,yes,225,no
40,married,no,171,no
40,married,yes,244,no
38,married,yes,324,yes
46,married,yes,187,no
43,divorced,yes,200,no
41,single,unknown,108,no
36,married,no,158,no
31,married,yes,41,no
63,married,no,198,no
33,married,yes,313,no
30,single,no,641,no
34,married,no,128,no
47,married,no,267,no
21,single,no,113,yes
